,isin,date,pOpen,pClose,maturity,couponRate,parVal
30,ca135087h565,1/15/2020,,99.96,2020-02-01 0:00,1.25,1980000000
31,ca135087h565,1/14/2020,,99.96,2020-02-01 0:00,1.25,1980000000
32,ca135087h565,1/13/2020,,99.96,2020-02-01 0:00,1.25,1980000000
33,ca135087h565,1/10/2020,,99.96,2020-02-01 0:00,1.25,1980000000
34,ca135087h565,1/9/2020,,99.96,2020-02-01 0:00,1.25,1980000000
35,ca135087h565,1/8/2020,,99.95,2020-02-01 0:00,1.25,1980000000
36,ca135087h565,1/7/2020,,99.95,2020-02-01 0:00,1.25,1980000000
37,ca135087h565,1/6/2020,,99.95,2020-02-01 0:00,1.25,1980000000
38,ca135087h565,1/3/2020,,99.95,2020-02-01 0:00,1.25,1980000000
39,ca135087h565,1/2/2020,,99.95,2020-02-01 0:00,1.25,1980000000
0,ca135087d929,1/15/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
1,ca135087d929,1/14/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
2,ca135087d929,1/13/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
3,ca135087d929,1/10/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
4,ca135087d929,1/9/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
5,ca135087d929,1/8/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
6,ca135087d929,1/7/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
7,ca135087d929,1/6/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
8,ca135087d929,1/3/2020,99.86,99.86,2020-03-01 0:00,1.5,3957000000
9,ca135087d929,1/2/2020,99.85,99.85,2020-03-01 0:00,1.5,3957000000
80,ca135087yz11,1/15/2020,100.64,100.64,2020-06-01 0:00,3.5,625000000
81,ca135087yz11,1/14/2020,100.64,100.64,2020-06-01 0:00,3.5,625000000
82,ca135087yz11,1/13/2020,100.64,100.65,2020-06-01 0:00,3.5,625000000
83,ca135087yz11,1/10/2020,100.66,100.65,2020-06-01 0:00,3.5,625000000
84,ca135087yz11,1/9/2020,100.66,100.66,2020-06-01 0:00,3.5,625000000
85,ca135087yz11,1/8/2020,100.68,100.68,2020-06-01 0:00,3.5,625000000
86,ca135087yz11,1/7/2020,100.68,100.69,2020-06-01 0:00,3.5,625000000
87,ca135087yz11,1/6/2020,100.7,100.69,2020-06-01 0:00,3.5,625000000
88,ca135087yz11,1/3/2020,100.7,100.7,2020-06-01 0:00,3.5,625000000
89,ca135087yz11,1/2/2020,100.68,100.7,2020-06-01 0:00,3.5,625000000
50,ca135087e596,1/15/2020,99.3,99.3,2020-09-01 0:00,0.75,4420000000
51,ca135087e596,1/14/2020,99.28,99.28,2020-09-01 0:00,0.75,4420000000
52,ca135087e596,1/13/2020,99.28,99.27,2020-09-01 0:00,0.75,4420000000
53,ca135087e596,1/10/2020,99.28,99.28,2020-09-01 0:00,0.75,4420000000
54,ca135087e596,1/9/2020,99.28,99.28,2020-09-01 0:00,0.75,4420000000
55,ca135087e596,1/8/2020,99.28,99.28,2020-09-01 0:00,0.75,4420000000
56,ca135087e596,1/7/2020,99.27,99.27,2020-09-01 0:00,0.75,4420000000
57,ca135087e596,1/6/2020,99.29,99.28,2020-09-01 0:00,0.75,4420000000
58,ca135087e596,1/3/2020,99.27,99.28,2020-09-01 0:00,0.75,4420000000
59,ca135087e596,1/2/2020,99.24,99.26,2020-09-01 0:00,0.75,4420000000
10,ca135087j629,1/15/2020,100.53,100.54,2021-02-01 0:00,2.25,1560000000
11,ca135087j629,1/14/2020,100.52,100.52,2021-02-01 0:00,2.25,1560000000
12,ca135087j629,1/13/2020,100.53,100.53,2021-02-01 0:00,2.25,1560000000
13,ca135087j629,1/10/2020,100.55,100.52,2021-02-01 0:00,2.25,1560000000
14,ca135087j629,1/9/2020,100.55,100.56,2021-02-01 0:00,2.25,1560000000
15,ca135087j629,1/8/2020,100.58,100.57,2021-02-01 0:00,2.25,1560000000
16,ca135087j629,1/7/2020,100.57,100.59,2021-02-01 0:00,2.25,1560000000
17,ca135087j629,1/6/2020,100.62,100.6,2021-02-01 0:00,2.25,1560000000
18,ca135087j629,1/3/2020,100.59,100.58,2021-02-01 0:00,2.25,1560000000
19,ca135087j629,1/2/2020,100.53,100.55,2021-02-01 0:00,2.25,1560000000
60,ca135087f254,1/15/2020,98.92,98.93,2021-03-01 0:00,0.75,3653000000
61,ca135087f254,1/14/2020,98.9,98.9,2021-03-01 0:00,0.75,3653000000
62,ca135087f254,1/13/2020,98.9,98.9,2021-03-01 0:00,0.75,3653000000
63,ca135087f254,1/10/2020,98.92,98.88,2021-03-01 0:00,0.75,3653000000
64,ca135087f254,1/9/2020,98.91,98.92,2021-03-01 0:00,0.75,3653000000
