,maturity,couponRate,isin,parVal
0,2020-02-01,1.250,CA135087H565,"1,980,000,000"
1,2020-03-01,1.500,CA135087D929,"3,957,000,000"
2,2020-05-01,1.750,CA135087H805,"1,638,000,000"
3,2020-06-01,3.500,CA135087YZ11,"625,000,000"
4,2020-08-01,1.750,CA135087J215,"1,560,000,000"
5,2020-09-01,0.750,CA135087E596,"4,420,000,000"
6,2020-11-01,2.000,CA135087J470,"1,560,000,000"
7,2021-02-01,2.250,CA135087J629,"1,560,000,000"
8,2021-03-01,0.750,CA135087F254,"3,653,000,000"
9,2021-03-15,10.500,CA135087TZ75,"15,488,000"
10,2021-05-01,1.750,CA135087J884,"1,560,000,000"
11,2021-06-01,9.750,CA135087UE28,"59,873,000"
12,2021-06-01,3.250,CA135087ZJ69,"1,125,000,000"
13,2021-08-01,1.500,CA135087K296,"1,560,000,000"
14,2021-09-01,0.750,CA135087F585,"2,796,000,000"
15,2021-11-01,1.250,CA135087K452,"1,560,000,000"
16,2022-02-01,1.500,CA135087K601,"1,560,000,000"
17,2022-03-01,0.500,CA135087G328,"2,733,000,000"
18,2022-06-01,2.750,CA135087ZU15,"2,290,000,000"
19,2022-06-01,9.250,CA135087UM44,"18,712,000"
20,2022-09-01,1.000,CA135087G732,"3,432,000,000"
21,2023-03-01,1.750,CA135087H490,"2,650,000,000"
22,2023-06-01,8.000,CA135087UT96,"25,000,000"
23,2023-06-01,1.500,CA135087A610,"2,840,000,000"
24,2023-09-01,2.000,CA135087H987,"1,560,000,000"
25,2024-03-01,2.250,CA135087J546,"1,560,000,000"
26,2024-06-01,2.500,CA135087B451,"2,760,000,000"
27,2024-09-01,1.500,CA135087J967,"2,106,000,000"
28,2025-03-01,1.250,CA135087K528,"1,092,000,000"
29,2025-06-01,9.000,CA135087VH40,"25,000,000"
30,2025-06-01,2.250,CA135087D507,"2,620,000,000"
31,2026-06-01,1.500,CA135087E679,"2,150,000,000"
32,2027-06-01,8.000,CA135087VW17,"1,090,000,000"
33,2027-06-01,1.000,CA135087F825,"2,160,000,000"
34,2028-06-01,2.000,CA135087H235,"1,815,000,000"
35,2029-06-01,5.750,CA135087WL43,"2,084,750,000"
36,2029-06-01,2.250,CA135087J397,"1,599,000,000"
37,2030-06-01,1.250,CA135087K379,"1,261,000,000"
38,2033-06-01,5.750,CA135087XG49,"1,605,000,000"
39,2037-06-01,5.000,CA135087XW98,"1,175,000,000"
40,2041-06-01,4.000,CA135087YQ12,"1,055,000,000"
41,2045-12-01,3.500,CA135087ZS68,"2,810,000,000"
42,2048-12-01,2.750,CA135087D358,"2,191,000,000"
43,2051-12-01,2.000,CA135087H722,"1,090,000,000"
44,,,,"78,986,823,000"
