isin,date,pOpen,pClose
ca135087h490,1/15/2020,100.37,100.38
ca135087h490,1/14/2020,100.28,100.31
ca135087h490,1/13/2020,100.32,100.27
ca135087h490,1/10/2020,100.37,100.31
ca135087h490,1/9/2020,100.36,100.35
ca135087h490,1/8/2020,100.47,100.44
ca135087h490,1/7/2020,100.38,100.45
ca135087h490,1/6/2020,100.49,100.48
ca135087h490,1/3/2020,100.39,100.42
ca135087h490,1/2/2020,100.16,100.31
ca135087k528,1/15/2020,98.45,98.47
ca135087k528,1/14/2020,98.24,98.34
ca135087k528,1/13/2020,98.29,98.24
ca135087k528,1/10/2020,98.3,98.25
ca135087k528,1/9/2020,98.19,98.3
ca135087k528,1/8/2020,98.49,98.48
ca135087k528,1/7/2020,98.38,98.48
ca135087k528,1/6/2020,98.57,98.58
ca135087k528,1/3/2020,98.35,98.43
ca135087k528,1/2/2020,97.82,98.24
ca135087a610,1/15/2020,99.53,99.56
ca135087a610,1/14/2020,99.46,99.49
ca135087a610,1/13/2020,99.48,99.44
ca135087a610,1/10/2020,99.53,99.53
ca135087a610,1/9/2020,99.71,99.54
ca135087a610,1/8/2020,99.63,99.62
ca135087a610,1/7/2020,99.58,99.61
ca135087a610,1/6/2020,99.66,99.65
ca135087a610,1/3/2020,99.54,99.59
ca135087a610,1/2/2020,99.33,99.48
ca135087vw17,1/15/2020,144.27,144.18
ca135087vw17,1/14/2020,143.77,143.99
ca135087vw17,1/13/2020,143.89,143.77
ca135087vw17,1/10/2020,143.94,143.92
ca135087vw17,1/9/2020,143.59,143.73
ca135087vw17,1/8/2020,144.33,144.23
ca135087vw17,1/7/2020,144.05,144.31
ca135087vw17,1/6/2020,144.52,144.41
ca135087vw17,1/3/2020,144.25,144.18
ca135087vw17,1/2/2020,142.92,143.78
ca135087b451,1/15/2020,103.74,103.8
ca135087b451,1/14/2020,103.62,103.7
ca135087b451,1/13/2020,103.63,103.61
ca135087b451,1/10/2020,103.65,103.7
ca135087b451,1/9/2020,103.65,103.65
ca135087b451,1/8/2020,103.9,103.82
ca135087b451,1/7/2020,103.8,103.88
ca135087b451,1/6/2020,103.95,103.99
ca135087b451,1/3/2020,103.75,103.86
ca135087b451,1/2/2020,103.35,103.53
ca135087e679,1/15/2020,99.52,99.54
ca135087e679,1/14/2020,99.24,99.37
ca135087e679,1/13/2020,99.43,99.25
ca135087e679,1/10/2020,99.36,99.28
ca135087e679,1/9/2020,99.18,99.29
ca135087e679,1/8/2020,99.58,99.56
ca135087e679,1/7/2020,99.43,99.57
ca135087e679,1/6/2020,99.67,99.67
ca135087e679,1/3/2020,99.4,99.49
ca135087e679,1/2/2020,98.75,99.28
ca135087h235,1/15/2020,103.39,103.34
ca135087h235,1/14/2020,102.97,103.15
ca135087h235,1/13/2020,103.08,102.9
ca135087h235,1/10/2020,103.05,103.07
ca135087h235,1/9/2020,102.86,102.85
ca135087h235,1/8/2020,103.37,103.27
ca135087h235,1/7/2020,103.14,103.34
ca135087h235,1/6/2020,103.54,103.45
ca135087h235,1/3/2020,103.27,103.21
ca135087h235,1/2/2020,102,102.84
ca135087d507,1/15/2020,103.49,103.53
ca135087d507,1/14/2020,103.26,103.36
ca135087d507,1/13/2020,103.32,103.26
ca135087d507,1/10/2020,103.35,103.3
ca135087d507,1/9/2020,103.21,103.33
ca135087d507,1/8/2020,103.58,103.55
ca135087d507,1/7/2020,103.43,103.54
ca135087d507,1/6/2020,103.75,103.65
ca135087d507,1/3/2020,103.42,103.49
ca135087d507,1/2/2020,102.84,103.29
ca135087j967,1/15/2020,99.1,99.1
ca135087j967,1/14/2020,98.99,98.99
ca135087j967,1/13/2020,99.06,99.06
