isin,date,pOpen,pClose
ca135087d929,1/15/2020,99.86,99.86
ca135087d929,1/14/2020,99.86,99.86
ca135087d929,1/13/2020,99.86,99.86
ca135087d929,1/10/2020,99.86,99.86
ca135087d929,1/9/2020,99.86,99.86
ca135087d929,1/8/2020,99.86,99.86
ca135087d929,1/7/2020,99.86,99.86
ca135087d929,1/6/2020,99.86,99.86
ca135087d929,1/3/2020,99.86,99.86
ca135087d929,1/2/2020,99.85,99.85
ca135087j629,1/15/2020,100.53,100.54
ca135087j629,1/14/2020,100.52,100.52
ca135087j629,1/13/2020,100.53,100.53
ca135087j629,1/10/2020,100.55,100.52
ca135087j629,1/9/2020,100.55,100.56
ca135087j629,1/8/2020,100.58,100.57
ca135087j629,1/7/2020,100.57,100.59
ca135087j629,1/6/2020,100.62,100.6
ca135087j629,1/3/2020,100.59,100.58
ca135087j629,1/2/2020,100.53,100.55
ca135087k296,1/15/2020,99.7,99.72
ca135087k296,1/14/2020,99.68,99.7
ca135087k296,1/13/2020,99.7,99.68
ca135087k296,1/10/2020,99.72,99.7
ca135087k296,1/9/2020,99.69,99.72
ca135087k296,1/8/2020,99.77,99.75
ca135087k296,1/7/2020,99.74,99.76
ca135087k296,1/6/2020,99.79,99.79
ca135087k296,1/3/2020,99.74,99.76
ca135087k296,1/2/2020,99.67,99.73
ca135087h565,1/15/2020,,99.96
ca135087h565,1/14/2020,,99.96
ca135087h565,1/13/2020,,99.96
ca135087h565,1/10/2020,,99.96
ca135087h565,1/9/2020,,99.96
ca135087h565,1/8/2020,,99.95
ca135087h565,1/7/2020,,99.95
ca135087h565,1/6/2020,,99.95
ca135087h565,1/3/2020,,99.95
ca135087h565,1/2/2020,,99.95
ca135087k601,1/15/2020,99.69,99.7
ca135087k601,1/14/2020,99.66,99.67
ca135087k601,1/13/2020,99.69,99.67
ca135087k601,1/10/2020,99.72,99.68
ca135087k601,1/9/2020,99.69,99.71
ca135087k601,1/8/2020,99.76,99.76
ca135087k601,1/7/2020,99.73,99.76
ca135087k601,1/6/2020,99.8,99.78
ca135087k601,1/3/2020,99.74,99.74
ca135087k601,1/2/2020,99.6,99.69
ca135087e596,1/15/2020,99.3,99.3
